GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CodeCoverage,com.svvt.CodeCoverage,StopWatchMerged,0,38,0,0,0,8,0,6,0,6
CodeCoverage,com.svvt.CodeCoverage,StopWatchDeepSeek,0,38,0,0,0,8,0,6,0,6
CodeCoverage,com.svvt.CodeCoverage,TicketingSystemDeepSeek,8,132,10,10,4,30,10,5,0,5
CodeCoverage,com.svvt.CodeCoverage,MineSweeperMerged,0,74,0,18,0,9,0,12,0,3
CodeCoverage,com.svvt.CodeCoverage,Tickett,0,41,0,0,0,9,0,5,0,5
CodeCoverage,com.svvt.CodeCoverage,EightQueenMerged,239,145,47,37,39,29,36,19,7,6
CodeCoverage,com.svvt.CodeCoverage,Ticket,0,41,0,0,0,9,0,5,0,5
CodeCoverage,com.svvt.CodeCoverage,MineSweeperDeepSeek,0,74,0,18,0,9,0,12,0,3
CodeCoverage,com.svvt.CodeCoverage,EightQueenDeepSeek,270,145,51,37,45,29,39,19,8,6
CodeCoverage,com.svvt.CodeCoverage,UnsortedHashSetDeepSeek,1,125,3,11,0,22,3,8,0,4
CodeCoverage,com.svvt.CodeCoverage,UnsortedHashSetMerged,0,126,0,14,0,22,0,11,0,4
CodeCoverage,com.svvt.CodeCoverage,TicketingSystemMerged,8,133,10,10,4,30,10,5,0,5
CodeCoverage,com.svvt.CodeCoverage,App,11,37,2,4,4,8,3,4,1,3
